created_date,time,clean_text,base_text,POS_VB,POS_VBD,POS_VBG,POS_VBN,POS_VBP,POS_VBZ,#NAME?,#NAME?,#NAME?,#NAME?,word_num,ordinal_num,num-num,num-num%,num-num-num,num/num,only_number,call_+num%,put_+num%,put_-num%,bull,bear,number_of_!,number_of_?,number_of_$,continous_!,continous_?,AFINN_sum_score,AFINN_max_score,AFINN_min_score,AFINN_pos_ratio,AFINN_neg_ratio,BingLiu_pos_ratio,BingLiu_neg_ratio,NRC_Hashtag_sum_score,NRC_Hashtag_max_score,NRC_Hashtag_min_score,NRC_Hashtag_pos_ratio,NRC_Hashtag_neg_ratio,SentiWordNet_sum_score,SentiWordNet_max_score,SentiWordNet_min_score,SentiWordNet_pos_ratio,SentiWordNet_neg_ratio,Avg_TFIDF_1-grams,Avg_rf_1-grams,Avg_TFIDF_2-grams,Avg_rf_2-grams,Avg_TFIDF_3-grams,Avg_rf_3-grams,Avg_TFIDF_4-grams,Avg_rf_4-grams,caps_word,hashtags,PMI_score
07-01-2019,1,Dow futures are up this thing's going to rip !,dow futur are up thi thing' go to rip !,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.1,-0.360182686,0.080617258,-0.157705349,0.1,0.8,-0.125,0.125,-0.25,0.2,0.2,4.599280825,1.375411245,8.015855671,1.130881549,9.995572167,1.194506313,10.21044037,1.194506313,0,0,-0.287824613
07-01-2019,1,Market Analysis video _url $BTC,market analysi video _url $BTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.065670196,0.004221161,-0.054598298,0.2,0.4,0,0,0,0,0,4.873788139,1.693653537,6.854841644,1.268887497,6.878235857,1.098612289,6.878235857,1.098612289,0,0,-1.66520618
07-01-2019,1,Market Analysis video: _url $MSFT,market analysi video: _url $MSFT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.069891357,0,-0.054598298,0,0.4,0,0,0,0,0,4.873788139,1.693653537,6.854841644,1.268887497,6.878235857,1.098612289,6.878235857,1.098612289,0,0,-1.66520618
07-01-2019,1,we flying tomorrow tomorrow ?,we fli tomorrow tomorrow ?,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.070929347,0.052522317,-0.137775932,0.4,0.6,0,0,0,0,0,6.547357227,1.933787601,9.709081235,1.098612289,10.21044037,0.963457253,10.21044037,1.194506313,0,0,0.149154015
07-01-2019,1,Mons1 $CELG,mons1 $CELG,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.526225129,0,1.521449397,0,1.194506313,0,1.656604433,0,0,-0.432726385
07-01-2019,1,are not it the truth have not looked at chart lately but i keep eye on price Stay above 300.00 not worried to much,are not it the truth have not look at chart late but i keep eye on price stay abov 300.00 not worri to much,1,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.6,0,-0.6,0,0.041666667,0,0.041666667,-1.566050792,0.01197149,-0.128503218,0.041666667,0.916666667,-1.375,0.625,-0.625,0.2,0.333333333,5.516380919,1.50946468,9.226289322,1.098612289,10.19016711,1.098612289,10.21044037,1.098612289,0,0,-0.470869778
07-01-2019,1,China to invest $12.4b in aviation infrastructure this year _url,china to invest $12.4b in aviat infrastructur thi year _url,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.375406546,0,-0.071206145,0,0.7,0,0,0,0,0,5.167338604,1.386680045,8.889628162,1.551320117,10.05349575,1.268887497,10.21044037,1.194506313,0,0,0.068456596
07-01-2019,2,US Sino talks indicate positive signs Why is pre market down then then ??,US sino talk indic posit sign whi is pre market down then then ??,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0.4,0.4,0,0.071428571,0,0.071428571,0,-0.404677877,0.184693101,-0.221230365,0.142857143,0.714285714,0.5,0.625,-0.125,0.2,0.2,6.445854432,1.644074935,9.346557336,0.963457253,10.21044037,1.098612289,10.21044037,1.098612289,1,0,-0.253615703
07-01-2019,3,Could go below $320 this week,could go below $320 thi week,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.272022697,0,-0.114386548,0,0.833333333,0,0,0,0,0,4.608966877,1.313667836,8.18502093,2.302585093,10.07528533,1.595830581,10.21044037,1.098612289,0,0,-0.403080112
07-01-2019,5,Powell Jobs Trade Talk News Helped Markets Jump on January 4 _url,powel job trade talk new help market jump on januari 4 _url,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333333,0,-0.563213618,0.024565774,-0.126980832,0.083333333,0.833333333,-0.125,0,-0.125,0,0.125,6.177580745,1.568505973,9.698043969,1.267247053,10.08837233,1.268887497,10.21044037,1.730985617,0,0,1.027037774
07-01-2019,6,bouncing at 330 supermarket,bounc at 330 supermarket,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.116531728,-0.004636357,-0.060964639,0,1,0,0,0,0,0,6.592528644,1.237117437,10.00770781,1.194506313,10.21044037,0.963457253,0,1.329661349,0,0,0.240588081
07-01-2019,6,Xis Top Trade Official Unexpectedly Attended China-you Talks _url,xi top trade offici unexpectedli attend china-y talk _url,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0.111111111,0,0.111111111,0.111111111,-0.072659332,0.102069061,-0.122967269,0.222222222,0.444444444,0,0,0,0,0,6.692561999,2.1146042,10.01135598,1.531706617,10.21044037,1.194506313,10.21044037,1.098612289,0,0,0.495098565
07-01-2019,6,Boom or bust potential this week Good news form trade negotiations and sees 360+ this week,boom or bust potenti thi week good news form trade negoti and see 360+ thi week,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0,0.0625,0,0.125,0.0625,-0.593246142,0.058058266,-0.122967269,0.25,0.6875,0.375,0.75,-0.375,0.090909091,0.090909091,6.424690637,1.836996383,9.910343376,4.605170186,10.17925074,1.560710409,10.21044037,1.560710409,0,0,0.000982915
07-01-2019,6,BRAZIL GOVT IS NOT THINKING OF INTERRUPTING NEGOTIATIONS ON EMBRAER-BOEING DEAL HELENO SAYS _url,brazil govt IS not think OF interrupt negoti ON embraer-bo deal heleno say _url,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,0,-0.4,0,0.071428571,0,0,-1.317763477,0,-0.412220608,0,0.785714286,0.25,0.125,0,0.4,0,5.99678108,1.315820542,9.491498097,1.313387258,10.17925074,1.098612289,10.21044037,1.098612289,14,0,-0.989530045
07-01-2019,7,big news coming! Get your passports ready!! $ARG,big news coming! get your passport ready!! $ARG,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0.2,0.2,0,0.125,0,0,0,-0.184001107,0.024565774,-0.066777386,0.125,0.5,0.125,0.125,0,0.25,0,5.731781021,1.540457015,9.351317761,1.073818561,10.12934735,1.194506313,10.21044037,0.963457253,0,0,-0.199727555
07-01-2019,7,nice drop going to be a fast in & out for me today GL .,nice drop go to be a fast in & out for me today GL .,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.6,-0.2,0.066666667,0.066666667,0.133333333,0,-0.360321085,0.087537195,-0.080755657,0.2,0.8,1.25,0.875,0,0.666666667,0,4.481637888,1.485062824,8.413657801,1.43187475,9.716633907,1.791759469,10.21044037,1.098612289,1,0,-0.351468538
07-01-2019,7,I have generally been very bullish on BA but market circumstances seem very volatile right now and I would caution that it will be under 320,I have gener been veri bullish on BA but market circumst seem veri volatil right now and I would caution that it will be under 320,2,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076923077,0.038461538,-1.353470348,0.024565774,-0.167116463,0.076923077,0.884615385,1,0.5,0,0.266666667,0,5.558048872,1.480286152,8.7863727,1.472650369,9.947884142,1.098612289,10.21044037,1.098612289,1,0,-0.597711225
